sim ils_level int taxa_ref avg_dist
5 LONG EXT 0_0_0 0.391536
5 LONG INT 60_0_0 0.0313206
3 LONG EXT 0_0_0 0.515639
3 LONG INT 35_0_0 0.0284676
9 MED INT 29_0_0 0.0531314
4 LONG EXT 0_0_0 0.394782
9 MED EXT 0_0_0 0.338355
4 LONG INT 80_0_0 0.0330157
6 LONG EXT 0_0_0 0.442001
10 MED EXT 0_0_0 0.32667
1 LONG EXT 0_0_0 0.399687
10 MED INT 25_0_0 0.0532539
2 LONG EXT 0_0_0 0.482706
1 LONG INT 60_0_0 0.0331431
8 SHORT EXT 0_0_0 0.284405
2 LONG INT 61_0_0 0.0316676
6 SHORT INT 52_0_0 0.0840471
5 SHORT INT 78_0_0 0.0661255
5 MED INT 63_0_0 0.0586922
10 SHORT EXT 0_0_0 0.309196
1 MED EXT 0_0_0 0.303979
8 SHORT INT 61_0_0 0.0781324
4 MED INT 70_0_0 0.05395
3 SHORT INT 61_0_0 0.0726265
7 MED INT 98_0_0 0.0515
4 MED EXT 0_0_0 0.334074
3 MED INT 78_0_0 0.0577824
8 MED EXT 0_0_0 0.331044
2 MED INT 54_0_0 0.0563559
8 MED INT 2_0_0 0.0607
6 MED INT 52_0_0 0.0582765
6 SHORT EXT 0_0_0 0.274102
6 LONG INT 27_0_0 0.0328627
3 MED EXT 0_0_0 0.330975
7 SHORT INT 98_0_0 0.0763265
7 LONG INT 76_0_0 0.0316422
5 MED EXT 0_0_0 0.328416
7 MED EXT 0_0_0 0.380408
2 SHORT INT 63_0_0 0.0725059
2 MED EXT 0_0_0 0.326567
10 SHORT INT 31_0_0 0.0720461
1 SHORT EXT 0_0_0 0.276737
4 SHORT INT 36_0_0 0.084
1 SHORT INT 17_0_0 0.0805255
3 SHORT EXT 0_0_0 0.297846
7 SHORT EXT 0_0_0 0.284819
1 MED INT 76_0_0 0.0640265
9 SHORT EXT 0_0_0 0.301555
2 SHORT EXT 0_0_0 0.30703
5 SHORT EXT 0_0_0 0.311189
7 LONG EXT 0_0_0 0.420421
9 SHORT INT 95_0_0 0.0732657
6 MED EXT 0_0_0 0.355202
8 LONG EXT 0_0_0 0.458293
4 SHORT EXT 0_0_0 0.275033
8 LONG INT 61_0_0 0.0367206
9 LONG EXT 0_0_0 0.413657
9 LONG INT 49_0_0 0.0336608
10 LONG EXT 0_0_0 0.405937
10 LONG INT 13_0_0 0.0322794
sim ils_level int taxa_ref avg_dist
11 SHORT INT 18_0_0 0.0765951
11 SHORT EXT 0_0_0 0.314902
12 SHORT EXT 0_0_0 0.322814
13 SHORT INT 97_0_0 0.0710667
12 SHORT INT 84_0_0 0.0790902
14 SHORT INT 16_0_0 0.0785392
13 SHORT EXT 0_0_0 0.301369
14 SHORT EXT 0_0_0 0.317699
15 SHORT INT 100_0_0 0.0786108
15 SHORT EXT 0_0_0 0.274226
16 SHORT EXT 0_0_0 0.27828
16 SHORT INT 50_0_0 0.0838157
17 SHORT INT 17_0_0 0.0695745
17 SHORT EXT 0_0_0 0.314379
18 SHORT INT 57_0_0 0.0798304
18 SHORT EXT 0_0_0 0.294423
19 SHORT EXT 0_0_0 0.371096
sim ils_level int taxa_ref avg_dist
19 SHORT INT 37_0_0 0.0715284
20 SHORT INT 31_0_0 0.0826225
20 SHORT EXT 0_0_0 0.313721
11 MED EXT 0_0_0 0.210056
13 MED INT 90_0_0 0.133735
13 MED EXT 0_0_0 0.221223
12 MED INT 46_0_0 0.132944
14 MED EXT 0_0_0 0.232245
11 MED INT 21_0_0 0.137064
12 MED EXT 0_0_0 0.235983
14 MED INT 5_0_0 0.128108
sim ils_level int taxa_ref avg_dist
18 MED EXT 0_0_0 0.207407
18 MED INT 78_0_0 0.142738
19 MED EXT 0_0_0 0.213937
19 MED INT 62_0_0 0.139091
